DEPOS_ID,FULL_NAME,STREET,CITY,STATE,ZIP,REP_NUM,
"423","Comerica Bank","PO Box 75000","Detroit","MI","","22061"
"424","Superior Federal Bank","735 N York","Muskogee","OK","74403","6572"
"425","The National Capital Bank of Washington","316 Penn Ave SE","Washington","DC","20003","6575"
"426","HSBC Bank USA","4425 5th Ave","New York","NY","","22528"
"427","Amalgamated Bank","1825 K St NW","Washington","DC","20006","22944"
"428","Home National Bank","122 E Grand","Ponca City","OK","","32244"
"429","National Bank of Commerce","","Oklahoma City","OK","","22126"
"430","Arvest Bank","N Lincoln Blvd","Oklahoma City","OK","","22244"
"431","BancFirst","PO Box 26788","Oklahoma City","OK","73126-0788","6581"
"433","Central National Bank","209 Clayton","Poteau","OK","74953","22787"
"432","Community State Bank","PO Box 769","Poteau","OK","","22787"
"434","none","none","none","no","73170","14552"
"435","Spirit Bank","4815 S Harvard Ste 100","Tulsa","OK","","13036"
"436","BancFirst","","Guthrie","OK","","24285"
"437","BancFirst","PO Box 190","Marietta","OK","73448","6585"
"438","BancFirst","","Oklahoma City","OK","","22133"
"439","Bank of America","PO Box 25189","Oklahoma City","OK","","20890"
"440","Citizens Bank","","Ada","OK","","21343"
"441","Bank of Oklahoma","PO Box 2300","Tulsa","OK","","22398"
"442","Wells Fargo Bank","707 Wilshire Blvd","Los Angeles","CA","","22708"
"443","UMB Bank","1217 S. Agnew","Oklahoma City","OK","73108","21951"
"445","Home National Bank","324 S Duck","Stillwater","OK","","24409"
"446","Local Oklahoma Bank","100 W Park Ave","Oklahoma City","OK","","21134"
"447","Focus Federal Credit Union","420 NE 10th St","Oklahoma City","OK","","21344"
"448","Southwestern Bank & Trust Co.","PO Box 19100","Oklahoma City","OK","","31369"
"449","First United Bank","","Ada","OK","","6599"
"450","Bank of Oklahoma NA","PO Box 24128","Oklahoma City","OK","73124","20839"
"451","None","none","none","no","74036","6808"
"452","First National Bank","200 S. Wewoka","Wewoka","OK","74884","6748"
"453","Arvest Bank","3900 N Lincoln Blvd","Oklahoma City","OK","","22399"
"454","Bank of Oklahoma","PO Box 24128","Oklahoma City","OK","","22202"
"455","Stillwater National Bank","6301 Waterford Blvd","Oklahoma City","OK","","21369"
"456","Republic Bank of Norman","PO Box 5369","Norman","OK","","27105"
"788","BancFirst","Main & Broadway","Oklahoma City","OK","","24678"
"457","BancFirst","Main & Broadway","Oklahoma City","OK","","24678"
"458","Fidelity Bank","PO Box 21360","Oklohoma City","OK","","21728"
"459","Municipal Employees Credit Uni","","","","","22885"
"460","BancFirst","PO Box 26788","Oklahoma City","OK","","20861"
"462","Bank of Oklahoma","","","","","31136"
"463","American Bank","15 E 15th St","Edmond","OK","","24744"
"464","Mid-First Bank","PO Box 76149","Oklahoma City","OK","","22465"
"465","Weokie Credit Union","8100 W Reno","Oklahoma City","OK","","21337"
"466","First Commercial Bank","PO Box 5450","Edmond","OK","","25104"
"467","Stillwater National Bank","PO Box 1988 (Sixth & Main)","Stillwater","OK","","22213"
"468","Union Bank on May","","","","","21121"
"472","Coppermark Bank","4631 NW 23rd St","Oklahoma City","OK","","22411"
"473","IBC Bank","PO Box 26020","Oklahoma City","OK","","21338"
"474","Coppermark Bank","PO Box 25676","Oklahoma City","OK","","22768"
"475","Gold Bank","10900 Hefner Pointe Dr","Oklahoma City","OK","","24745"
"476","Arvest Bank","N Lincoln Blvd","Oklahoma City","OK","","22284"
"477","Coppermark Bank","PO Box 25676","Oklahoma Ciy","OK","","22412"
"478","Arvest Bank","PO Box 55500","Oklahoma City","OK","","22224"
"479","Bank of Oklahoma","","Oklahoma City","OK","","20895"
"480","BancFirst","PO Box 26788","Oklahoma City","OK","","22232"
"481","Republic Bank of Norman","PO Box 5369","Norman","OK","","27544"
