TRANSACTION_ID,NATURE,PERC_OWNER,C4R#,
"80159","","",""
"80240","","",""
"80454","","",""
"80455","","",""
"80530","","",""
"80539","","",""
"68309","","",""
"72206","","",""
"137161","PO Box Rent","",""
"137162","Domain Name","",""
"137163","Copies","",""
"137533","Meal expense","",""
"137550","Mailing","",""
"137553","Phone Bank","",""
"137719","Food for Rally","",""
"138431","WIRE & POST DRIVER","",""
"138497","CAMPAIGN RECEPTION","",""
"138774","Food  FR","100",""
"138891","Food","",""
"138947","Catering","",""
"138952","Catering","",""
"138955","Radio time","",""
"138961","Office supplies and equipment","",""
"138963","Travel expenses, hotel","",""
"138967","Office supplies and equipment","",""
"138969","Travel expenses, rental car","",""
"138973","Travel expenses, airfare","",""
"138974","Travel expenses, airfare","",""
"138977","Donor dinner","",""
"138979","Beverages, Paper goods","",""
"139502","FOOD","",""
"139503","FOOD","",""
"139930","Food and drink","",""
"140553","Media buy","",""
"140557","Circulation fee","",""
"140558","Accounting fees","",""
"140559","Media buy","",""
"140560","Media buy","",""
"140562","Not Given","",""
"140563","Media buy","",""
"140602","Telephone","",""
"141146","Postal Service - PO Box","",""
"141157","Postage","",""
"141361","IN-KIND CONTRIBUTIONS OF $50 OR LESS","",""
"143149","Accounting & office services","",""
"143148","Accounting & office services","",""
"141596","Loan","",""
"141656","Fundraiser Supplies","",""
"141731","Desk Space/Computer Use","0",""
"141734","Desk Space/Computer Use","0",""
"141737","Desk space/Computer use","0",""
"142050","In-Kind Mailing","",""
"142052","In-Kind Polling","",""
"142054","In-Kind Decoration","",""
"142589","Wine","",""
"143016","Labels","",""
"143295","Gas, Mileage, Postage, Equipment","",""
"143325","Printing/Postage/Food","",""
"143775","Advertisement","",""
"143776","Advertisement","",""
"143777","Campaign Marketing Material","",""
"144500","Refreshments","",""
"146749","Printing","0",""
"150931","Reception Food","",""
"146206","IN KIND","",""
"146207","IN KIND","",""
"146208","IN KIND","",""
"146210","IN KIND","",""
"146211","IN KIND","",""
"146212","IN KIND","",""
"146213","IN KIND","",""
"146214","IN KIND","",""
"151613","Web services","",""
"146979","Hosting reception","",""
"152914","In-kind contrib. for office space","0",""
"154439","Payment of campaign consulting fee","",""
"147280","Domain name purchase","",""
"147295","CATERING FOR FUNDRAISER","",""
"147296","CATERING FOR FUNDRAISER","",""
"147297","CATERING FOR FUNDRAISER","",""
"147298","CATERING FOR FUNDRAISER","",""
"147299","CATERING FOR FUNDRAISER","",""
"147300","CATERING FOR FUNDRAISER","",""
"147301","CATERING FOR FUNDRAISER","",""
"147302","LPHONE CHARGES","",""
"147303","GRAPHICS DESIGN","",""
"147304","BULK E MAIL SERVICES","",""
"147305","WEB SITE HOSTING","",""
"147306","FUNDRAISING TRAVEL EXPENSE","",""
"147307","CATERING FOR FUNDRAISER","",""
"147308","CATERING FOR FUNDRAISER","",""
